name,full_address,street,city,postal_code,us_state,country,latitude,longitude,site,phone,type,category,subtypes,rating,reviews,business_status,working_hours,google_id,place_id,reviews_link,photo,query,scraped_zip,source
13moons Restaurant,,12885 Casino Dr,Anacortes,98221,,United States of America,48.4579297,-122.5197115,,+1 360-588-3800,Restaurant,restaurants,"Restaurant, Casino, Hotel, Seafood restaurant, Steak house",4.5,289.0,OPERATIONAL,,0x5485700a37394b9b:0x8654bb93b0ed293a,ChIJm0s5NwpwhVQROintsJO7VIY,https://search.google.com/local/reviews?placeid=ChIJm0s5NwpwhVQROintsJO7VIY&q=*&authuser=0&hl=en&gl=US,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGJdyWSKeL4yPbq1mLi-JszZOMIRdRX_S-8rwpTevEswvP7q8TzK_SjlxTKBdKqyNgG5OklnfPCNBjp2HIp8ayizl-Jwo1Mpwj_chtJIQ82g4rQr7t4V-v78sR_YDUOmuB5MViGlg=w800-h500-k-no,"restaurant, 98221, WA, US",98221,outscraper_google_maps
A'Town Bistro,,418 Commercial Ave,Anacortes,98221,,United States of America,48.5185106,-122.6127994,,+1 360-899-4001,Bistro,restaurants,"Bistro, French restaurant, Italian restaurant, New American restaurant, Restaurant, Traditional American restaurant",4.8,553.0,OPERATIONAL,"{""Friday"": [""11:30AM-8:30PM""], ""Monday"": [""Closed""], ""Saturday"": [""11:30AM-8:30PM""], ""Sunday"": [""Closed""], ""Thursday"": [""11:30AM-8:30PM""], ""Tuesday"": [""11:30AM-8:30PM""], ""Wednesday"": [""11:30AM-8:30PM""]}",0x548579e0d7e2ad13:0x6041e01d07345345,ChIJE63i1-B5hVQRRVM0Bx3gQWA,https://search.google.com/local/reviews?placeid=ChIJE63i1-B5hVQRRVM0Bx3gQWA&q=*&authuser=0&hl=en&gl=US,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEh78p0eP2ZWuHBfyFI_HQ8UQiWlYP9lj-mZ9ZANNauc5gim1IdCRSagN2a5WMlKKATn5lqKrPKRClUAryeKJiLLo12aqxyfh1MIF-XsLkkEr7GTCZta__qkKxJVQCkeV7F6IAuGg=w800-h500-k-no,"restaurant, 98221, WA, US",98221,outscraper_google_maps
Adrift Restaurant,,510 Commercial Ave,Anacortes,98221,,United States of America,48.5179963,-122.6127249,,+1 360-588-0653,Seafood restaurant,restaurants,"Seafood restaurant, Hamburger restaurant, Restaurant, Vegetarian restaurant",4.6,1328.0,OPERATIONAL,"{""Friday"": [""11AM-9PM""], ""Monday"": [""11AM-8PM""], ""Saturday"": [""11AM-9PM""], ""Sunday"": [""Closed""], ""Thursday"": [""11AM-8PM""], ""Tuesday"": [""11AM-8PM""], ""Wednesday"": [""11AM-8PM""]}",0x548579e12dbb3815:0x553d4ae33868f3c8,ChIJFTi7LeF5hVQRyPNoOONKPVU,https://search.google.com/local/reviews?placeid=ChIJFTi7LeF5hVQRyPNoOONKPVU&q=*&authuser=0&hl=en&gl=US,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGlV17TxUnfqwWoorJGb6IKx2BBBGoSCQWJiq8HDmuuU2z_D8L5iCfmW1XmMQuYtBx3mj69uQFN_DesdUUFchiaIpLoJWzVC5koF-J6X_ABMJ5YtNZ_wymkc-ngITeYN1qvBlFGLA=w800-h500-k-no,"restaurant, 98221, WA, US",98221,outscraper_google_maps
Agave Taqueria,,2520 Commercial Ave,Anacortes,98221,,United States of America,48.5014199,-122.6130163,,+1 360-588-1288,Mexican restaurant,restaurants,"Mexican restaurant, Restaurant",4.5,740.0,OPERATIONAL,"{""Friday"": [""11AM-9PM""], ""Monday"": [""11AM-9PM""], ""Saturday"": [""11AM-9PM""], ""Sunday"": [""11AM-9PM""], ""Thursday"": [""11AM-9PM""], ""Tuesday"": [""11AM-9PM""], ""Wednesday"": [""11AM-9PM""]}",0x548579f5cb726345:0x7f033143c1b7d7df,ChIJRWNyy_V5hVQR39e3wUMxA38,https://search.google.com/local/reviews?placeid=ChIJRWNyy_V5hVQR39e3wUMxA38&q=*&authuser=0&hl=en&gl=US,https://lh3.googleusercontent.com/gps-cs-s/APNQkAH8cptv-7f5fZrMv4eiEKXprO1bfyJgOMtit1MPopi3xWFCwuQCE1CPWgWhHMz1JxSRsuEKADcgTcFx_sbemIt6ZyOBkbvn10KoM-eicFCizDzozNy9HQ9FHP8N3vj2pRSkOI4O=w800-h500-k-no,"restaurant, 98221, WA, US",98221,outscraper_google_maps
Anacortes Calico Cupboard Café & Bakery,,901 Commercial Ave,Anacortes,98221,,United States of America,48.5148805,-122.6123541,,+1 360-293-7315,Cafe,cafes,"Cafe, Breakfast restaurant",4.5,1141.0,OPERATIONAL,"{""Friday"": [""7AM-2PM""], ""Monday"": [""7AM-2PM""], ""Saturday"": [""7AM-2PM""], ""Sunday"": [""7AM-2PM""], ""Thursday"": [""7AM-2PM""], ""Tuesday"": [""7AM-2PM""], ""Wednesday"": [""7AM-2PM""]}",0x548579e43979547f:0xa925a3408f1553c9,ChIJf1R5OeR5hVQRyVMVj0CjJak,https://search.google.com/local/reviews?placeid=ChIJf1R5OeR5hVQRyVMVj0CjJak&q=*&authuser=0&hl=en&gl=US,https://lh3.googleusercontent.com/gps-cs-s/APNQkAE_IiNYwaN_Kj30MKf__EXzQZXPfgsLaDilWvWwzwZ-AK9heBhlP1i6xqNwDlmum_akm6pHktlf6mFVZoqVpS_ThtcYgjP0rJhPoRTM0zgxAyMNvFRk8Rs-K-U1d3Lcy6P7r_Mw=w800-h500-k-no,"restaurant, 98221, WA, US",98221,outscraper_google_maps
Anacortes Corner Caffè,,1519 Commercial Ave,Anacortes,98221,,United States of America,48.5091317,-122.6123571,,+1 360-868-6060,Coffee shop,coffee shops,Coffee shop,4.9,303.0,OPERATIONAL,"{""Friday"": [""7AM-5:30PM""], ""Monday"": [""7AM-5:30PM""], ""Saturday"": [""8AM-5PM""], ""Sunday"": [""8AM-5PM""], ""Thursday"": [""7AM-5:30PM""], ""Tuesday"": [""7AM-5:30PM""], ""Wednesday"": [""7AM-5:30PM""]}",0x5485791a30e3ebdd:0x7c06eff18cad96af,ChIJ3evjMBp5hVQRr5atjPHvBnw,https://search.google.com/local/reviews?placeid=ChIJ3evjMBp5hVQRr5atjPHvBnw&q=*&authuser=0&hl=en&gl=US,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGupAurBKfxJtfJlb0a4YE1aauYd2x0LwS_edh6Kb9keH78MuCmjC_nDuOlBuRySAEvyEPWoHMwY7ryNjLaR7uaggjrr90ZDFigH3bAhjqktqavEEv_jV5sPpA5_Gt4yS9KJczl=w800-h500-k-no,"restaurant, 98221, WA, US",98221,outscraper_google_maps
Anacortes Oil & Vinegar Bar,,704 Commercial Ave,Anacortes,98221,,United States of America,48.5164355,-122.6127126,,+1 360-293-6410,Bar,Gourmet grocery store,"Bar, Gourmet grocery store",4.8,85.0,OPERATIONAL,"{""Friday"": [""11AM-5PM""], ""Monday"": [""11AM-5PM""], ""Saturday"": [""11AM-5PM""], ""Sunday"": [""Closed""], ""Thursday"": [""11AM-5PM""], ""Tuesday"": [""11AM-5PM""], ""Wednesday"": [""11AM-5PM""]}",0x548579e6bb0c63a7:0x880b5ab21cf38e20,ChIJp2MMu-Z5hVQRII7zHLJaC4g,https://search.google.com/local/reviews?placeid=ChIJp2MMu-Z5hVQRII7zHLJaC4g&q=*&authuser=0&hl=en&gl=US,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGCw8AKofCSIFRh65HGTgRHtU08tYfHL03297IAQdi-9Xe_JlMYMU9FVZioAGhkn4wxl_IHfsK26hp6aISmgfXBBDO4OA1MZeSmEcxUKG5oNacW1phXL5Mb6bcU8gWjqwi4wgXGQg=w800-h500-k-no,"bar, 98221, WA, US",98221,outscraper_google_maps
Anacortes Seafood Market & More (U.S. For U.S. Seafoods),,7656 State Rte 20 b,Anacortes,98221,,United States of America,48.4626721,-122.5814556,,+1 360-919-7441,Seafood market,Seafood market,Seafood market,5.0,40.0,OPERATIONAL,"{""Friday"": [""12-5PM""], ""Monday"": [""12-4:30PM""], ""Saturday"": [""11AM-5PM""], ""Sunday"": [""11AM-3PM""], ""Thursday"": [""12-4:30PM""], ""Tuesday"": [""12-4:30PM""], ""Wednesday"": [""12-4:30PM""]}",0x54857bfab1c4fc99:0xa30097ab18dab420,ChIJmfzEsfp7hVQRILTaGKuXAKM,https://search.google.com/local/reviews?placeid=ChIJmfzEsfp7hVQRILTaGKuXAKM&q=*&authuser=0&hl=en&gl=US,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHi8QwRJZVPxQfz0pOB4PrOIl7icYBSjJhmPqjILVNSh0EZAKlZXRLwvVULLp6_CWmwmwJtX5wBglN0F-MfV5XXa3OLFQ3I38QlbLK6lZHeIIXX6PPk7f-LcjQr7H1B2iL4FcG_8K4EP4uK=w800-h500-k-no,"restaurant, 98221, WA, US",98221,outscraper_google_maps
Anchor Inn,,1921 Commercial Ave,Anacortes,98221,,United States of America,48.5061607,-122.6124114,,,Bar,bars,Bar,4.1,215.0,OPERATIONAL,"{""Friday"": [""12PM-1AM""], ""Monday"": [""12PM-12AM""], ""Saturday"": [""12PM-1AM""], ""Sunday"": [""12PM-12AM""], ""Thursday"": [""12PM-12AM""], ""Tuesday"": [""12PM-12AM""], ""Wednesday"": [""12PM-12AM""]}",0x548579f0e040929f:0xc17a09f2a9137f32,ChIJn5JA4PB5hVQRMn8TqfIJesE,https://search.google.com/local/reviews?placeid=ChIJn5JA4PB5hVQRMn8TqfIJesE&q=*&authuser=0&hl=en&gl=US,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFbVkp3P75ZDnK7MlmMBhxiczCYDh2WgDnQVa1wwt4ctJ8HpE20wf3rJdoB7RGTf83zo1G5fTcIj_Q3ZV65LrgOLhyd2T67EpZvTuV3TvQ6y_K2T-8R0_Mr96noo-OdsNcdaJTE=w800-h500-k-no,"restaurant, 98221, WA, US",98221,outscraper_google_maps
Anthony's At Cap Sante Marina,,1207 Q Ave,Anacortes,98221,,United States of America,48.5125824,-122.609506,,+1 360-588-0333,Seafood restaurant,restaurants,"Seafood restaurant, Restaurant",4.4,2195.0,OPERATIONAL,"{""Friday"": [""11:30AM-9PM""], ""Monday"": [""11:30AM-9PM""], ""Saturday"": [""11:30AM-9PM""], ""Sunday"": [""10AM-8PM""], ""Thursday"": [""11:30AM-9PM""], ""Tuesday"": [""11:30AM-9PM""], ""Wednesday"": [""11:30AM-9PM""]}",0x548579e4f87a0579:0x42aa2b215611f8e9,ChIJeQV6-OR5hVQR6fgRViErqkI,https://search.google.com/local/reviews?placeid=ChIJeQV6-OR5hVQR6fgRViErqkI&q=*&authuser=0&hl=en&gl=US,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGFEs4xod-_S_wixgFjgc0P5RSZd3iXd14Rz2lhxvIoYgBstcNaSWBEvncbZs5th2zyqr80YK5Szla4Js3j_-NJ8oAOthPnB-49_Sa_cX9iaAkmPK4N1fVEUBx3-Dt8RdruQ6Qu=w800-h500-k-no,"restaurant, 98221, WA, US",98221,outscraper_google_maps
